frame,x,y,confidence
53455,868,51,0.608098
53456,868,51,0.630476
53457,868,51,0.642196
53458,868,51,0.633435
53459,868,51,0.630788
53460,868,51,0.626473
53461,868,51,0.625118
53462,868,51,0.615411
53463,868,51,0.609969
53464,868,51,0.628226
53465,868,51,0.620811
53466,868,51,0.592978
53467,868,51,0.600984
53468,868,51,0.586626
53469,868,51,0.484765
53470,868,51,0.471371
53471,868,51,0.473749
53472,868,51,0.460331
53473,868,51,0.503388
53474,868,51,0.502084
53475,868,51,0.514804
53476,868,51,0.524304
53477,,,
53478,,,
53479,,,
53480,868,51,0.361386
53481,868,51,0.350523
53482,,,
53483,,,
53484,,,
53485,,,
53486,,,
53487,,,
53488,,,
53489,,,
53490,,,
53491,,,
53492,,,
53493,,,
53494,,,
53495,,,
53496,,,
53497,,,
53498,,,
53499,,,
53500,1088,440,0.994676
53501,1089,440,0.996538
53502,1096,439,0.992436
53503,1096,438,0.992441
53504,1100,440,0.989922
53505,1105,439,0.983852
53506,1106,440,0.984997
53507,1112,441,0.987245
53508,,,
53509,1120,438,0.992950
53510,,,
53511,,,
53512,1124,440,0.995331
53513,,,
53514,1132,446,0.996154
53515,1134,447,0.997539
53516,1138,447,0.995902
53517,1141,448,0.995753
53518,1143,449,0.995713
53519,,,
53520,,,
53521,,,
53522,,,
53523,,,
53524,,,
53525,,,
53526,,,
53527,,,
53528,,,
53529,,,
53530,,,
53531,,,
53532,,,
53533,,,
53534,,,
53535,,,
53536,,,
53537,868,51,0.413248
53538,868,51,0.544589
53539,868,52,0.555781
53540,868,52,0.461134
53541,868,52,0.448872
53542,868,52,0.386663
53543,,,
53544,,,
53545,,,
53546,,,
53547,,,
53548,,,
53549,,,
53550,,,
53551,,,
53552,,,
53553,,,
53554,,,
53555,,,
53556,,,
53557,,,
53558,,,
53559,,,
53560,,,
53561,1053,432,0.998511
53562,1054,432,0.998609
53563,1054,432,0.998485
53564,1054,432,0.998762
53565,1054,432,0.998666
53566,1056,433,0.998240
53567,1056,433,0.998309
53568,1056,433,0.998457
53569,1056,433,0.997914
53570,1056,434,0.997385
53571,984,344,0.774892
53572,984,344,0.752554
53573,984,344,0.744202
53574,984,344,0.728269
53575,984,344,0.742526
53576,984,344,0.724988
53577,984,344,0.707556
53578,984,344,0.703315
53579,984,344,0.688625
53580,984,344,0.681269
53581,986,345,0.690253
53582,984,344,0.656987
53583,984,344,0.650185
53584,984,344,0.659009
53585,930,342,0.900504
53586,930,342,0.858307
53587,930,342,0.849329
53588,932,342,0.841051
53589,932,342,0.818137
53590,932,342,0.785661
53591,932,341,0.760467
53592,933,342,0.776490
53593,934,342,0.763015
53594,936,342,0.730057
53595,,,
53596,,,
